Id,SalePrice
1461,123626.35568209023
1462,162860.7732867627
1463,173111.24019113107
1464,179183.1631759647
1465,199100.16469121806
1466,170774.4580137151
1467,163344.75152375613
1468,160595.83729016612
1469,180678.45245830656
1470,124761.34230286586
1471,207952.35027706227
1472,93980.02984649321
1473,94328.20751246973
1474,151976.3739442667
1475,136049.8977158426
1476,386564.53953448724
1477,259607.34336371216
1478,300461.757834283
1479,277677.7943239966
1480,482635.5200433794
1481,322780.139997869
1482,214720.19568024905
1483,174786.73775216914
1484,172048.77829137797
1485,178191.75264379874
1486,192215.23995316072
1487,358325.93847534724
1488,235407.96715306662
1489,204676.1894677381
1490,228252.72900009036
1491,192863.49500994832
1492,83448.33792722794
1493,196758.20672743575
1494,295669.7728874392
1495,301798.4708835262
1496,241249.08901255036
1497,181261.0208627046
1498,169577.73764311048
1499,169692.67785051343
1500,148773.34028255593
1501,175081.79891108457
1502,159394.02230440744
1503,293860.1906249857
1504,229403.09537135763
1505,211800.33286059275
1506,197419.88016717407
1507,223334.4247386941
1508,199712.24340841328
1509,165258.4310407051
1510,143762.42609360596
1511,144058.14859912422
1512,177453.63801350273
1513,146032.40721010146
1514,171188.06220217067
1515,195386.71563933362
1516,165292.4687112988
1517,159602.9692841733
1518,141766.05330249784
1519,225094.27486032536
1520,132281.37949665164
1521,136278.5425193638
1522,163209.04520184998
1523,110778.50702029456
1524,119610.83250118812
1525,125280.84575975731
1526,124456.10409425038
1527,107974.91596316984
1528,134875.0526278532
1529,143639.15722521773
1530,175844.102175291
1531,112906.9187964542
1532,106874.66128922034
1533,142005.49359117605
1534,119083.8102697341
1535,149328.34065099622
1536,112173.46301921191
1537,72256.60165457102
1538,194703.97344895115
1539,237012.37949079834
1540,89250.02558236526
1541,138414.7827600337
1542,130437.08991497841
1543,214411.6311937276
1544,77093.35226931951
1545,106463.40965238838
1546,123756.70551546039
1547,135494.49439926472
1548,131525.29753442956
1549,110681.18321882434
1550,138343.25327939776
1551,124131.15316944235
1552,128806.7142774079
1553,171224.74157926434
1554,111277.56556820836
1555,162949.19976861984
1556,79320.06520836912
1557,113552.14610539004
1558,94398.53418450069
1559,94272.30730641139
1560,134576.35676912288
1561,150867.8856234348
1562,125776.42226769219
1563,120441.76503877435
1564,168211.87080342407
1565,142179.58814931544
1566,225385.30426623172
1567,72104.95282912551
1568,215751.98486954827
1569,130310.49701027306
1570,130804.01691670291
1571,127720.73049765438
1572,149056.83961230912
1573,253935.85866061936
1574,137566.52757354925
1575,232517.8665223473
1576,218790.77702667203
1577,198380.0389135159
1578,152663.77433548804
1579,140711.7774993683
1580,187067.74665117945
1581,154578.9570107417
1582,129812.08752150857
1583,337661.3576893913
1584,231591.2925325209
1585,139967.26776467837
1586,84881.05767069802
1587,99031.2446795822
1588,151930.4038603467
1589,101233.81932899283
1590,140291.16061149273
1591,98347.63802362005
1592,125858.15401929036
1593,132292.05153216372
1594,135318.69176204267
1595,117345.70906410686
1596,255185.43947600343
1597,199573.5870148987
1598,224203.43889520917
1599,203788.67942257455
1600,198793.6944712297
1601,81900.1908780842
1602,109716.71509516757
1603,90342.90465166472
1604,284764.12809890625
1605,253544.21131652268
1606,156966.80231285395
1607,196973.09113991022
1608,215897.0087926779
1609,194110.6772805404
1610,146971.079563598
1611,142272.0783162235
1612,171375.13724687675
1613,157757.0745952113
1614,122310.86296106684
1615,90486.99132247058
1616,72636.9848331279
1617,91864.40819837227
1618,127375.90695496416
1619,140158.32377375447
1620,152987.60523871804
